PCA,Cluster,deviance_retained,deviance_lost,intra_cluster_total,total_dev_lost,error
2,13,0.677642,0.322358,100.397356,0.326651,
2,20,0.677642,0.322358,70.647374,0.325379,
2,33,0.677642,0.322358,41.398558,0.324128,
2,8,0.677642,0.322358,159.906261,0.329196,
3,13,0.767148,0.232852,341.709841,0.247463,
3,20,0.767148,0.232852,221.681099,0.242331,
3,33,0.767148,0.232852,150.688665,0.239295,
3,8,0.767148,0.232852,656.777437,0.260935,
5,13,0.915122,0.084878,1201.750522,0.136263,
5,20,0.915122,0.084878,644.509096,0.112436,
5,33,0.915122,0.084878,312.966798,0.098260,
5,8,0.915122,0.084878,1896.615430,0.165975,
6,13,0.971094,0.028906,1236.088586,0.081759,
6,20,0.971094,0.028906,866.255690,0.065946,
6,33,0.971094,0.028906,435.030301,0.047507,
6,8,0.971094,0.028906,1997.374349,0.114311,
