timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762768721790,5,HTTP medium_6,200,OK,Thread Group 1100 3-1,text,true,,819512,141,1,1,http://192.168.100.2/workload_test/medium_6.css,3,0,1
1762768721844,21,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,1,1,http://192.168.100.2/workload_test/medium_10.json,2,0,0
1762768721899,1,HTTP light_3,200,OK,Thread Group 1100 3-1,text,true,,9531,139,1,1,http://192.168.100.2/workload_test/light_3.js,1,0,0
1762768721954,5,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,1,1,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1762768722009,23,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,1,1,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768722064,16,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,1,1,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768722119,5,HTTP medium_9,200,OK,Thread Group 1100 3-1,text,true,,1536320,140,1,1,http://192.168.100.2/workload_test/medium_9.js,2,0,0
1762768722174,4,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,1,1,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1762768722229,14,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,1,1,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768722284,3,HTTP medium_6,200,OK,Thread Group 1100 3-1,text,true,,819511,141,1,1,http://192.168.100.2/workload_test/medium_6.css,2,0,0
1762768722289,4,HTTP medium_6,200,OK,Thread Group 1100 3-2,text,true,,819512,141,2,2,http://192.168.100.2/workload_test/medium_6.css,2,0,1
1762768722339,6,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,2,2,http://192.168.100.2/workload_test/medium_10.json,2,0,0
1762768722397,4,HTTP medium_9,200,OK,Thread Group 1100 3-2,text,true,,1536320,140,2,2,http://192.168.100.2/workload_test/medium_9.js,2,0,0
1762768722448,4,HTTP medium_9,200,OK,Thread Group 1100 3-1,text,true,,1536320,140,2,2,http://192.168.100.2/workload_test/medium_9.js,2,0,0
1762768722506,2,HTTP medium_6,200,OK,Thread Group 1100 3-2,text,true,,819511,141,2,2,http://192.168.100.2/workload_test/medium_6.css,1,0,0
1762768722557,1,HTTP light_3,200,OK,Thread Group 1100 3-1,text,true,,9531,139,2,2,http://192.168.100.2/workload_test/light_3.js,1,0,0
1762768722615,4,HTTP medium_9,200,OK,Thread Group 1100 3-2,text,true,,1536320,140,2,2,http://192.168.100.2/workload_test/medium_9.js,1,0,0
1762768722666,4,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,2,2,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1762768722724,2,HTTP medium_6,200,OK,Thread Group 1100 3-2,text,true,,819511,141,2,2,http://192.168.100.2/workload_test/medium_6.css,1,0,0
1762768722775,2,HTTP light_3,200,OK,Thread Group 1100 3-1,text,true,,9531,139,2,2,http://192.168.100.2/workload_test/light_3.js,2,0,0
1762768722789,16,HTTP heavy_4,200,OK,Thread Group 1100 3-3,text,true,,7373098,140,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,1
1762768722833,4,HTTP medium_10,200,OK,Thread Group 1100 3-2,text,true,,1843498,143,3,3,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1762768722884,14,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768722954,13,HTTP heavy_4,200,OK,Thread Group 1100 3-3,text,true,,7373097,140,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,1,0,0
1762768722997,16,HTTP heavy_4,200,OK,Thread Group 1100 3-2,text,true,,7373097,140,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,1,0,0
1762768723048,4,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,143,3,3,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1762768723117,5,HTTP medium_10,200,OK,Thread Group 1100 3-3,text,true,,1843498,143,3,3,http://192.168.100.2/workload_test/medium_10.json,2,0,0
1762768723161,1,HTTP light_3,200,OK,Thread Group 1100 3-2,text,true,,9531,139,3,3,http://192.168.100.2/workload_test/light_3.js,1,0,0
1762768723212,15,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768723289,8,HTTP medium_9,200,OK,Thread Group 1100 3-4,text,true,,1536321,140,4,4,http://192.168.100.2/workload_test/medium_9.js,3,0,1
1762768723281,17,HTTP heavy_4,200,OK,Thread Group 1100 3-3,text,true,,7373097,140,4,4,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768723325,3,HTTP medium_9,200,OK,Thread Group 1100 3-2,text,true,,1536320,140,4,4,http://192.168.100.2/workload_test/medium_9.js,1,0,0
1762768723375,15,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,140,4,4,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768723499,18,HTTP heavy_4,200,OK,Thread Group 1100 3-3,text,true,,7373097,140,4,4,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
1762768723507,17,HTTP heavy_4,200,OK,Thread Group 1100 3-4,text,true,,7373097,140,4,4,http://192.168.100.2/workload_test/heavy_4.pdf,2,0,0
