timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760462386156,2,HTTP light_5,200,OK,Thread Group 700 2-1,bin,true,,18720,141,1,1,http://192.168.100.2/workload_test/light_5.png,2,0,1
1760462386237,17,HTTP heavy_3,200,OK,Thread Group 700 2-1,text,true,,5120290,141,1,1,http://192.168.100.2/workload_test/heavy_3.csv,2,0,0
1760462386323,8,HTTP heavy_3,200,OK,Thread Group 700 2-1,text,true,,5120290,141,1,1,http://192.168.100.2/workload_test/heavy_3.csv,1,0,0
1760462386408,2,HTTP light_5,200,OK,Thread Group 700 2-1,bin,true,,18719,141,1,1,http://192.168.100.2/workload_test/light_5.png,2,0,0
1760462386495,13,HTTP heavy_3,200,OK,Thread Group 700 2-1,text,true,,5120290,141,1,1,http://192.168.100.2/workload_test/heavy_3.csv,2,0,0
1760462386581,2,HTTP light_7,200,OK,Thread Group 700 2-1,text,true,,36156,141,1,1,http://192.168.100.2/workload_test/light_7.xml,2,0,0
1760462386649,10,HTTP heavy_1,200,OK,Thread Group 700 2-2,bin,true,,2560292,141,2,2,http://192.168.100.2/workload_test/heavy_1.mp4,2,0,1
1760462386666,2,HTTP light_5,200,OK,Thread Group 700 2-1,bin,true,,18719,141,2,2,http://192.168.100.2/workload_test/light_5.png,2,0,0
1760462386820,1,HTTP light_5,200,OK,Thread Group 700 2-2,bin,true,,18719,141,2,2,http://192.168.100.2/workload_test/light_5.png,1,0,0
1760462386838,6,HTTP heavy_1,200,OK,Thread Group 700 2-1,bin,true,,2560291,141,2,2,http://192.168.100.2/workload_test/heavy_1.mp4,1,0,0
1760462386991,1,HTTP light_7,200,OK,Thread Group 700 2-2,text,true,,36156,141,2,2,http://192.168.100.2/workload_test/light_7.xml,1,0,0
1760462387009,2,HTTP light_2,200,OK,Thread Group 700 2-1,text,true,,5428,141,2,2,http://192.168.100.2/workload_test/light_2.css,2,0,0
1760462387148,2,HTTP light_2,200,OK,Thread Group 700 2-3,text,true,,5429,141,3,3,http://192.168.100.2/workload_test/light_2.css,1,0,1
1760462387162,3,HTTP medium_3,200,OK,Thread Group 700 2-2,text,true,,256295,142,3,3,http://192.168.100.2/workload_test/medium_3.pdf,3,0,0
1760462387180,9,HTTP heavy_3,200,OK,Thread Group 700 2-1,text,true,,5120290,141,3,3,http://192.168.100.2/workload_test/heavy_3.csv,1,0,0
1760462387405,5,HTTP medium_3,200,OK,Thread Group 700 2-3,text,true,,256295,142,3,3,http://192.168.100.2/workload_test/medium_3.pdf,1,0,0
1760462387419,1,HTTP light_7,200,OK,Thread Group 700 2-2,text,true,,36156,141,3,3,http://192.168.100.2/workload_test/light_7.xml,1,0,0
1760462387437,5,HTTP heavy_1,200,OK,Thread Group 700 2-1,bin,true,,2560291,141,3,3,http://192.168.100.2/workload_test/heavy_1.mp4,1,0,0
1760462387648,1,HTTP light_2,200,OK,Thread Group 700 2-4,text,true,,5429,141,4,4,http://192.168.100.2/workload_test/light_2.css,1,0,0
1760462387662,2,HTTP light_5,200,OK,Thread Group 700 2-3,bin,true,,18719,141,4,4,http://192.168.100.2/workload_test/light_5.png,2,0,0
1760462387676,8,HTTP heavy_1,200,OK,Thread Group 700 2-2,bin,true,,2560291,141,4,4,http://192.168.100.2/workload_test/heavy_1.mp4,1,0,0
1760462387694,3,HTTP medium_7,200,OK,Thread Group 700 2-1,text,true,,973112,143,4,4,http://192.168.100.2/workload_test/medium_7.html,1,0,0
1760462387990,10,HTTP heavy_3,200,OK,Thread Group 700 2-4,text,true,,5120290,141,4,4,http://192.168.100.2/workload_test/heavy_3.csv,1,0,0
