r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,505768,43900,1054928,0,60,1385,551,0,2,98,0,"3,8140833543","-1,651630252","-0,325253345","-0,387608852","0,1017842385","-1,098398969","-1,173631231","0,9728188443",1
0,0,503748,43904,1054948,12,0,1345,641,0,2,98,0,"3,8268923457","-1,587823415","-1,129249084","-0,321360416","-0,829052611","0,1409121685","-0,37960791","-0,089271598",1
6,0,505240,43904,1054952,0,0,1148,500,1,2,96,0,"5,9261485525","-1,96066714","-1,364499012","-2,524253616","9,758480286","5,4870020068","5,2985752375","0,718380142",4
0,0,505060,43904,1054956,0,0,1142,451,1,2,97,0,"4,4744565329","-1,628488502","-0,070859529","-0,300082254","-0,877641566","0,300054267","0,4619248427","-0,503850692",1
0,0,505300,43904,1054956,0,0,910,428,0,1,99,0,"0,3781623071","-1,849624134","-0,078436854","0,1221241086","-0,155841152","-0,052621955","-0,383081093","-1,362310315",7
1,0,504500,43912,1054952,0,36,966,427,0,1,98,0,"1,528720924","-1,876030187","0,0624958976","-0,227533667","2,1301075024","0,2025482416","-0,091963992","-0,498223697",6
0,0,504144,43912,1054960,0,0,1063,436,0,1,98,0,"1,5549724191","-1,723048423","-0,359549057","-0,027327296","-0,290013937","-0,00898081","-0,331070393","-1,156090521",7
0,0,504884,43912,1054964,0,0,1175,520,0,2,98,0,"2,9381597555","-1,809553866","-1,144050814","-0,451413813","-0,753285942","-0,063760547","-0,185562956","0,0758090571",1
0,0,504988,43912,1054968,0,216,968,370,0,1,99,0,"1,3213091517","-1,904728916","2,9434969284","0,7573265149","3,4088389038","-3,908673997","-3,983914962","1,6224471894",9
0,0,505240,43912,1054984,0,0,1695,873,2,3,95,0,"10,719253748","-0,748038261","0,5334815184","-0,943306662","-1,867944306","0,7899947763","1,3598475724","-0,191751113",1
0,0,504584,43920,1054988,0,44,1198,449,0,2,98,0,"2,9597853067","-1,861953062","-0,693226349","-0,316894421","-0,006605637","-0,868893418","-0,961115598","0,7783975353",1
0,0,505388,43920,1054988,0,0,1033,369,0,2,98,0,"2,0514301416","-2,050748963","-1,297732757","-0,365105298","-0,667259988","-0,106216718","-0,150957276","0,3293571636",1
0,0,504664,43920,1054992,0,0,893,302,0,1,98,0,"0,6571731275","-1,967198882","-0,444198123","0,0702472049","-0,196935552","-0,047646405","-0,278830324","-0,943556346",7
0,0,504684,43920,1054992,0,308,963,317,0,1,99,0,"1,5564694129","-1,971317593","4,1840016767","1,0482534463","4,9546225108","-5,562916044","-5,528664926","2,9202225487",9
0,0,504268,43920,1054996,0,0,919,338,0,1,99,0,"0,1180816607","-1,912077163","-0,373285241","0,1408118134","-0,095910769","-0,092467695","-0,491044538","-1,272312299",7
0,0,504288,43928,1054996,0,20,919,473,0,1,98,0,"1,4108133004","-1,769959486","0,185601238","0,0971112501","0,0877473652","-0,357562891","-0,580449534","-0,999980684",7
0,0,505460,43928,1055000,0,0,1099,344,0,2,98,0,"2,1238827378","-2,013092712","-1,418694888","-0,395343261","-0,692039627","-0,108695543","-0,179284081","0,4101623808",1
0,0,505068,43928,1055000,0,0,997,312,0,2,98,0,"1,7744102986","-2,123925306","-1,414255987","-0,336005222","-0,623472026","-0,128661104","-0,180132061","0,3942152489",1
0,0,505356,43928,1055004,0,64,1129,330,0,2,98,0,"2,4467789079","-2,020210554","-0,530411143","-0,213753598","0,3580717132","-1,249998721","-1,250847971","1,2925206762",1
0,0,504852,43928,1055008,0,0,964,344,1,1,98,0,"2,0881722218","-1,568834551","0,8182969267","0,2378357065","-0,290819766","0,3037238274","0,1837272626","-1,916847305",8
0,0,504876,43936,1055008,0,16,1064,350,0,2,97,0,"2,8866088913","-2,029096913","-1,222024572","-0,408973971","-0,500257467","-0,350542017","-0,279177937","0,7989773793",1
0,0,505052,43936,1055012,0,0,993,356,0,1,99,0,"0,3345388115","-1,808501987","-0,350293739","0,0926442609","-0,162875767","-0,07115156","-0,456243386","-1,207152341",7
0,0,505280,43936,1055012,0,0,791,278,0,1,99,0,"-0,438449867","-2,036789085","-0,296380061","0,2015776573","-0,060566048","-0,100031502","-0,392458787","-1,134025724",7
0,0,505896,43936,1055016,0,0,771,298,0,1,99,0,"-0,437727487","-2,027552521","-0,182173612","0,2020893965","-0,080346916","-0,08610453","-0,334428149","-1,130210377",7
0,0,505620,43936,1055016,0,0,1028,306,0,2,97,0,"2,5503397652","-2,091426389","-1,46582226","-0,441113331","-0,763754311","-0,069646171","0,0327321507","0,7078115202",1
0,0,505132,43936,1055020,0,0,1010,354,0,2,98,0,"1,9469048031","-2,057640438","-1,328604518","-0,349452702","-0,643239804","-0,114498515","-0,165125495","0,3318648678",1
0,0,505900,43944,1055020,0,88,1065,348,0,2,98,0,"2,4407434265","-2,026904433","-0,020946286","-0,118381172","0,7567435118","-1,665354417","-1,574107575","1,60082774",1
0,0,505832,43944,1055024,0,0,1128,370,0,2,98,0,"2,2694563042","-1,936791796","-1,362472951","-0,417980234","-0,725935383","-0,093345744","-0,153852116","0,4099078522",1
0,0,505692,43944,1055024,0,0,714,262,0,1,99,0,"-0,697762131","-2,094934376","-0,219963273","0,2373959118","-0,037528825","-0,101794987","-0,339927016","-1,10281252",7
0,0,505104,43944,1055028,0,0,1030,331,0,2,98,0,"1,9159633862","-2,053314562","-1,404329184","-0,356074984","-0,644582906","-0,120109947","-0,182447844","0,3819678219",1
0,0,505220,43944,1055028,0,0,756,257,0,1,99,0,"-0,597125514","-2,071009468","-0,312327481","0,2222679174","-0,03696921","-0,108193801","-0,390795202","-1,11307825",7
0,0,505452,43952,1055032,0,32,953,364,0,2,98,0,"1,9742016515","-2,070762822","-0,742014059","-0,229843944","-0,105129291","-0,677291048","-0,640591827","0,7465679886",1
0,0,504860,43952,1055036,0,0,1002,322,0,2,98,0,"1,8214773062","-2,072032925","-1,414670517","-0,33858502","-0,62059308","-0,127206081","-0,191925111","0,3699257266",1
0,0,505428,43952,1055036,0,0,700,269,0,1,99,0,"-0,702137637","-2,086804575","-0,210474303","0,2458534855","-0,023404421","-0,103894131","-0,350367375","-1,139269655",7
