timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760462686142,2,HTTP medium_2,200,OK,Thread Group 1100 3-1,text,true,,184639,141,1,1,http://192.168.100.2/workload_test/medium_2.js,2,0,1
1760462686196,4,HTTP medium_9,200,OK,Thread Group 1100 3-1,text,true,,1536320,141,1,1,http://192.168.100.2/workload_test/medium_9.js,1,0,0
1760462686252,1,HTTP light_3,200,OK,Thread Group 1100 3-1,text,true,,9531,140,1,1,http://192.168.100.2/workload_test/light_3.js,1,0,0
1760462686307,2,HTTP light_6,200,OK,Thread Group 1100 3-1,text,true,,22839,141,1,1,http://192.168.100.2/workload_test/light_6.txt,2,0,0
1760462686362,3,HTTP medium_6,200,OK,Thread Group 1100 3-1,text,true,,819511,142,1,1,http://192.168.100.2/workload_test/medium_6.css,1,0,0
1760462686418,17,HTTP heavy_4,200,OK,Thread Group 1100 3-1,text,true,,7373097,141,1,1,http://192.168.100.2/workload_test/heavy_4.pdf,1,0,0
1760462686471,8,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,144,1,1,http://192.168.100.2/workload_test/medium_10.json,2,0,0
1760462686527,4,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,144,1,1,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1760462686582,3,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,144,1,1,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1760462686637,3,HTTP medium_6,200,OK,Thread Group 1100 3-1,text,true,,819511,142,1,1,http://192.168.100.2/workload_test/medium_6.css,2,0,0
1760462686642,2,HTTP light_6,200,OK,Thread Group 1100 3-2,text,true,,22840,141,2,2,http://192.168.100.2/workload_test/light_6.txt,2,0,1
1760462686692,2,HTTP medium_2,200,OK,Thread Group 1100 3-1,text,true,,184638,141,2,2,http://192.168.100.2/workload_test/medium_2.js,2,0,0
1760462686751,5,HTTP medium_9,200,OK,Thread Group 1100 3-2,text,true,,1536320,141,2,2,http://192.168.100.2/workload_test/medium_9.js,2,0,0
1760462686801,2,HTTP medium_6,200,OK,Thread Group 1100 3-1,text,true,,819511,142,2,2,http://192.168.100.2/workload_test/medium_6.css,1,0,0
1760462686860,4,HTTP medium_10,200,OK,Thread Group 1100 3-2,text,true,,1843498,144,2,2,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1760462686910,1,HTTP light_3,200,OK,Thread Group 1100 3-1,text,true,,9531,140,2,2,http://192.168.100.2/workload_test/light_3.js,1,0,0
1760462686969,4,HTTP medium_10,200,OK,Thread Group 1100 3-2,text,true,,1843498,144,2,2,http://192.168.100.2/workload_test/medium_10.json,2,0,0
1760462687019,3,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,144,2,2,http://192.168.100.2/workload_test/medium_10.json,1,0,0
1760462687078,3,HTTP medium_9,200,OK,Thread Group 1100 3-2,text,true,,1536320,141,2,2,http://192.168.100.2/workload_test/medium_9.js,2,0,0
1760462687128,3,HTTP medium_9,200,OK,Thread Group 1100 3-1,text,true,,1536320,141,2,2,http://192.168.100.2/workload_test/medium_9.js,1,0,0
1760462687142,13,HTTP heavy_4,200,OK,Thread Group 1100 3-3,text,true,,7373098,141,3,3,http://192.168.100.2/workload_test/heavy_4.pdf,1,0,1
1760462687187,1,HTTP medium_6,200,OK,Thread Group 1100 3-2,text,true,,819511,142,3,3,http://192.168.100.2/workload_test/medium_6.css,1,0,0
1760462687237,3,HTTP medium_10,200,OK,Thread Group 1100 3-1,text,true,,1843498,144,3,3,http://192.168.100.2/workload_test/medium_10.json,1,0,0
