timeStamp,elapsed,label,bytes,sentBytes,grpThreads,Latency,Connect,Principale1,Principale2,Principale3,Principale4,Principale5,Cluster
"1,760462e+12",10,HTTP medium_8,1229092,142,1,1,0,"0,4827302126","2,0180339081","-2,525635455","-6,094544856","-0,131033119",1
"1,760462e+12",6,HTTP medium_8,1229092,142,1,3,0,"0,4663914278","4,3337276401","-2,323693321","-5,059359264","-2,642200147",1
"1,760462e+12",8,HTTP medium_8,1229092,142,1,3,0,"0,6670472502","4,3226684147","-2,293012714","-5,072163118","-2,641364334",1
"1,760462e+12",2,HTTP medium_1,123170,142,1,2,0,"-0,435231937","3,2523365855","-2,547309046","-5,509230305","-1,415723374",1
"1,760462e+12",1,HTTP light_8,51488,141,1,1,0,"-0,602201515","1,9050717628","-3,686782418","-5,535552746","-0,248501196",1
"1,760462e+12",3,HTTP light_9,77089,143,1,2,0,"-0,493527259","3,4574221966","-1,54274606","-5,98457574","-1,331030252",1
"1,760462e+12",2,HTTP light_1,1325,141,2,2,1,"0,0252089068","6,7685135226","-3,815861928","-3,322617562","2,610785297",10
"1,760462e+12",2,HTTP light_1,1324,141,2,2,0,"-0,330217382","2,9645267232","-3,430737695","-4,835467459","-1,489287068",1
"1,760462e+12",2,HTTP light_9,77089,143,2,2,0,"-0,600722596","3,37918567","-1,447645489","-5,777805036","-1,316697709",1
"1,760462e+12",2,HTTP light_9,77089,143,2,2,0,"-0,600722596","3,37918567","-1,447645489","-5,777805036","-1,316697709",1
"1,760462e+12",2,HTTP light_8,51488,141,2,2,0,"-0,3162546","2,9625636514","-3,429349567","-4,836796953","-1,488080539",1
"1,760462e+12",2,HTTP medium_1,123170,142,2,2,0,"-0,442099364","3,1685704462","-2,436868172","-5,308861528","-1,400972924",1
"1,760462e+12",2,HTTP medium_1,123170,142,2,1,0,"-0,634585794","2,0217828056","-2,568519846","-5,81365047","-0,146225224",1
"1,760462e+12",2,HTTP medium_1,123170,142,2,2,0,"-0,442099364","3,1685704462","-2,436868172","-5,308861528","-1,400972924",1
"1,760462e+12",2,HTTP light_9,77090,143,3,2,1,"-0,252163733","7,0994063299","-1,722328849","-4,064586361","2,7981251067",10
"1,760462e+12",13,HTTP heavy_2,3891497,141,3,1,0,"1,6568369534","1,5209127484","-3,17555712","-5,313409875","-0,121626685",1
"1,760462e+12",1,HTTP light_4,14627,141,3,1,0,"-0,626196357","1,7389819686","-3,46692068","-5,133838266","-0,219886865",1
"1,760462e+12",3,HTTP medium_4,409889,142,3,2,0,"-0,268832745","3,0680544962","-2,303152968","-5,122493576","-1,378908489",1
"1,760462e+12",59,HTTP heavy_5,9728292,141,3,2,0,"8,0890364452","2,1849264329","-2,176736941","-5,257801845","-1,216765852",1
"1,760462e+12",74,HTTP heavy_5,9728292,141,3,2,0,"9,5939551126","2,1019822422","-1,946632389","-5,353830748","-1,21049725",1
"1,760462e+12",1,HTTP light_1,1324,141,3,1,0,"-0,629899149","1,739502556","-3,467288798","-5,133485697","-0,220206825",1
"1,760462e+12",2,HTTP light_9,77089,143,3,2,0,"-0,607590022","3,2954195306","-1,337204615","-5,577436258","-1,301947259",1
"1,760462e+12",31,HTTP heavy_5,9728292,141,3,1,0,"5,0873685027","1,1929679482","-2,737917112","-5,583336836","0,0262804572",1
"1,760462e+12",26,HTTP heavy_5,9728293,141,4,2,1,"5,1267742393","6,0876243123","-2,957650315","-3,333319585","2,8842660381",10
"1,760462e+12",35,HTTP heavy_5,9728292,141,4,2,0,"5,674299151","2,2338709986","-2,43446335","-4,903786824","-1,212045166",1
"1,760462e+12",8,HTTP heavy_2,3891497,141,4,2,0,"1,3408164012","2,6115823132","-3,010166089","-4,576242521","-1,363713469",1
"1,760462e+12",20,HTTP heavy_5,9728292,141,4,1,0,"3,9768940536","1,1700275486","-2,796219576","-5,312546864","0,036433932",1
"1,760462e+12",2,HTTP medium_1,123170,142,4,1,0,"-0,648320646","1,8542505268","-2,347638098","-5,412912915","-0,116724324",1
"1,760462e+12",2,HTTP light_9,77089,143,4,2,0,"-0,614457448","3,2116533912","-1,226763741","-5,377067481","-1,287196809",1
"1,760462e+12",2,HTTP light_8,51488,141,4,2,0,"-0,329989452","2,7950313726","-3,208467819","-4,436059398","-1,458579639",1
"1,760462e+12",2,HTTP light_8,51488,141,4,2,0,"-0,329989452","2,7950313726","-3,208467819","-4,436059398","-1,458579639",1
"1,760462e+12",3,HTTP light_4,14628,141,5,3,1,"0,3011237617","7,657952545","-3,337179211","-2,223476783","1,4010268132",10
"1,760462e+12",18,HTTP heavy_5,9728292,141,5,2,0,"3,9618572349","2,2441082753","-2,584807635","-4,59458529","-1,204399132",1
"1,760462e+12",1,HTTP light_8,51488,141,5,1,0,"-0,62967122","1,5700072054","-3,245018922","-4,734077636","-0,189499395",1
"1,760462e+12",1,HTTP light_9,77089,143,5,1,0,"-0,914139216","1,986629224","-1,263314845","-5,675085719","-0,018116565",1
"1,760462e+12",21,HTTP heavy_5,9728292,141,5,2,0,"4,2628409684","2,2275194371","-2,538786725","-4,61379107","-1,203145412",1
"1,760462e+12",6,HTTP medium_8,1229092,142,5,1,0,"0,053948863","1,7050878014","-2,145233172","-5,267462039","-0,073702946",1
"1,760462e+12",1,HTTP medium_1,123170,142,5,1,0,"-0,755515983","1,7760140002","-2,252537527","-5,206142211","-0,10239178",1
"1,760462e+12",2,HTTP light_9,77089,143,5,2,0,"-0,621324875","3,1278872519","-1,116322867","-5,176698703","-1,272446359",1
"1,760462e+12",2,HTTP light_4,14627,141,6,2,0,"-0,353984294","2,6289415784","-2,988606081","-4,034344918","-1,429965309",1
"1,760462e+12",1,HTTP light_1,1325,141,6,1,0,"-0,65050115","1,4882040987","-3,135966148","-4,532379391","-0,175955451",1
"1,760462e+12",1,HTTP light_8,51488,141,6,1,0,"-0,636538646","1,486241066","-3,134578048","-4,533708858","-0,174748945",1
"1,760462e+12",2,HTTP medium_1,123170,142,6,2,0,"-0,469569069","2,8335058887","-1,995104676","-4,507386417","-1,341971124",1
"1,760462e+12",34,HTTP heavy_5,9728292,141,6,2,0,"5,5602363873","2,0718683325","-2,228921906","-4,496647342","-1,182962173",1
"1,760462e+12",6,HTTP medium_4,409889,142,6,2,0,"0,0115487102","2,80016724","-1,925809435","-4,540593024","-1,333403418",1
"1,760462e+12",8,HTTP heavy_2,3891497,141,6,1,0,"1,1345951188","1,2972623938","-2,920936015","-4,680293908","-0,079464869",1
"1,760462e+12",2,HTTP light_9,77089,143,6,2,0,"-0,628192301","3,0441211125","-1,005881993","-4,976329925","-1,257695909",1
"1,760462e+12",2,HTTP light_1,1324,141,6,2,0,"-0,357687087","2,6294621658","-2,988974199","-4,033992349","-1,430285268",1
"1,760462e+12",6,HTTP medium_4,409890,142,7,2,1,"0,3601075728","6,5203879","-2,200492795","-2,827374349","2,7814193971",10
"1,760462e+12",2,HTTP light_4,14627,141,7,1,0,"-0,553338151","1,3983877984","-3,009816881","-4,338765082","-0,160467158",1
"1,760462e+12",2,HTTP light_9,77089,143,7,1,0,"-0,827546157","1,8135673325","-1,027092793","-5,28075009","0,0118022418",1
"1,760462e+12",1,HTTP light_4,14627,141,7,1,0,"-0,653666062","1,4039174111","-3,025157184","-4,332363156","-0,160885065",1
"1,760462e+12",2,HTTP light_9,77089,143,7,2,0,"-0,635059727","2,9603549731","-0,895441119","-4,775961148","-1,242945459",1
"1,760462e+12",2,HTTP medium_1,123170,142,7,1,0,"-0,668922925","1,6029521087","-2,016315476","-4,811806582","-0,072472973",1
"1,760462e+12",6,HTTP medium_8,1229092,142,7,2,0,"0,2327004404","2,6843431633","-1,792699751","-4,361935541","-1,298949747",1
"1,760462e+12",6,HTTP medium_4,409889,142,7,2,0,"0,004681284","2,7164011006","-1,815368561","-4,340224246","-1,318652968",1
"1,760462e+12",2,HTTP light_4,14628,141,8,2,1,"-0,012292858","6,265396099","-3,152848566","-2,120757465","2,6996079569",10
"1,760462e+12",2,HTTP light_4,14627,141,8,2,0,"-0,367719147","2,4614092997","-2,767724333","-3,633607362","-1,400464409",1
"1,760462e+12",2,HTTP medium_1,123170,142,8,1,0,"-0,675790351","1,5191859693","-1,905874602","-4,611437805","-0,057722523",1
"1,760462e+12",23,HTTP heavy_5,9728292,141,8,2,0,"4,442894512","1,9651617936","-2,176783496","-4,025488591","-1,158058248",1
"1,760462e+12",6,HTTP light_9,77089,143,8,2,0,"-0,240615509","2,8544703829","-0,723639032","-4,601200078","-1,226523381",1
"1,760462e+12",21,HTTP heavy_5,9728292,141,8,2,0,"4,2422386897","1,976221019","-2,207464103","-4,012684738","-1,158894061",1
"1,760462e+12",2,HTTP light_8,51488,141,8,2,0,"-0,357459157","2,4599668152","-2,766704323","-3,634584288","-1,399577839",1
"1,760462e+12",3,HTTP light_8,51488,141,8,2,0,"-0,257131246","2,4544372024","-2,75136402","-3,640986214","-1,399159932",1
"1,760462e+12",6,HTTP medium_4,409890,142,9,2,1,"0,3463727203","6,3528556212","-1,979611047","-2,426636794","2,8109202972",10
"1,760462e+12",1,HTTP light_4,14627,141,9,1,0,"-0,667400914","1,2363851324","-2,804275436","-3,9316256","-0,131384165",1
"1,760462e+12",22,HTTP heavy_5,9728292,141,9,2,0,"4,3356991746","1,886925267","-2,081682925","-3,818717887","-1,143725705",1
"1,760462e+12",2,HTTP light_4,14627,141,9,2,0,"-0,374586573","2,3776431603","-2,657283459","-3,433238585","-1,385713959",1
"1,760462e+12",6,HTTP medium_4,409889,142,9,2,0,"-0,009053569","2,5488688219","-1,594486813","-3,939486691","-1,289152068",1
"1,760462e+12",6,HTTP medium_4,409889,142,9,2,0,"-0,009053569","2,5488688219","-1,594486813","-3,939486691","-1,289152068",1
"1,760462e+12",5,HTTP medium_4,409889,142,9,1,0,"-0,30186791","1,407610794","-1,74147879","-4,437873707","-0,034822275",1
"1,760462e+12",1,HTTP light_8,51488,141,9,1,0,"-0,657140925","1,2349426479","-2,803255426","-3,932602526","-0,130497595",1
"1,760462e+12",11,HTTP heavy_2,3891497,141,9,2,0,"1,6074630034","2,1761627782","-2,411940809","-3,593604413","-1,288707499",1
"1,760462e+12",12,HTTP heavy_2,3891498,141,10,3,1,"2,2488362071","7,0376414661","-2,539632191","-1,381998723","1,5717855234",10
"1,760462e+12",7,HTTP medium_8,1229092,142,10,2,0,"0,3124260728","2,4275151325","-1,446036825","-3,767231135","-1,25428049",1
"1,760462e+12",3,HTTP medium_4,409889,142,10,1,0,"-0,509391158","1,3349038801","-1,661718523","-4,224701075","-0,020907638",1
"1,760462e+12",2,HTTP light_1,1324,141,10,2,0,"-0,385156792","2,2943976083","-2,547210703","-3,232517239","-1,371283468",1
"1,760462e+12",20,HTTP heavy_5,9728292,141,10,1,0,"3,9356894961","0,6674307124","-2,133574332","-4,110334198","0,1249366322",1
"1,760462e+12",2,HTTP light_8,51488,141,10,2,0,"-0,37119401","2,2924345364","-2,545822575","-3,233846733","-1,370076939",1
"1,760462e+12",2,HTTP light_1,1324,141,10,1,0,"-0,577643222","1,1476099677","-2,678862376","-3,737306181","-0,116535768",1
"1,760462e+12",5,HTTP medium_4,409889,142,10,1,0,"-0,308735336","1,3238446546","-1,631037916","-4,237504929","-0,020071825",1
"1,760462e+12",27,HTTP heavy_5,9728292,141,10,2,0,"4,8304713041","1,775511064","-1,894540534","-3,650358744","-1,12688572",1
"1,760462e+12",19,HTTP heavy_5,9728293,141,11,2,1,"4,3764068774","5,5399686257","-2,291946321","-1,885924654","2,9845938405",10
"1,760462e+12",6,HTTP medium_8,1229092,142,11,2,0,"0,2052307354","2,3492786058","-1,350936255","-3,560460431","-1,239947947",1
