procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 505704  43888 1054896    0    0 10207   273 2163    3  3  4 92  0  0  0
 0  0      0 505768  43900 1054928    0    0     0    60 1385  551  0  2 98  0  0  0
 0  0      0 503748  43904 1054948    0    0    12     0 1345  641  0  2 98  0  0  0
 6  0      0 505240  43904 1054952    0    0     0     0 1148  500  1  2 96  0  0  0
 0  0      0 505060  43904 1054956    0    0     0     0 1142  451  1  2 97  0  0  0
 0  0      0 505300  43904 1054956    0    0     0     0  910  428  0  1 99  0  0  0
 1  0      0 504500  43912 1054952    0    0     0    36  966  427  0  1 98  0  0  0
 0  0      0 504144  43912 1054960    0    0     0     0 1063  436  0  1 98  0  0  0
 0  0      0 504884  43912 1054964    0    0     0     0 1175  520  0  2 98  0  0  0
 0  0      0 504988  43912 1054968    0    0     0   216  968  370  0  1 99  0  0  0
 0  0      0 505240  43912 1054984    0    0     0     0 1695  873  2  3 95  0  0  0
 0  0      0 504584  43920 1054988    0    0     0    44 1198  449  0  2 98  0  0  0
 0  0      0 505388  43920 1054988    0    0     0     0 1033  369  0  2 98  0  0  0
 0  0      0 504664  43920 1054992    0    0     0     0  893  302  0  1 98  0  0  0
 0  0      0 504684  43920 1054992    0    0     0   308  963  317  0  1 99  0  0  0
 0  0      0 504268  43920 1054996    0    0     0     0  919  338  0  1 99  0  0  0
 0  0      0 504288  43928 1054996    0    0     0    20  919  473  0  1 98  0  0  0
 0  0      0 505460  43928 1055000    0    0     0     0 1099  344  0  2 98  0  0  0
 0  0      0 505068  43928 1055000    0    0     0     0  997  312  0  2 98  0  0  0
 0  0      0 505356  43928 1055004    0    0     0    64 1129  330  0  2 98  0  0  0
 0  0      0 504852  43928 1055008    0    0     0     0  964  344  1  1 98  0  0  0
 0  0      0 504876  43936 1055008    0    0     0    16 1064  350  0  2 97  0  0  0
 0  0      0 505052  43936 1055012    0    0     0     0  993  356  0  1 99  0  0  0
 0  0      0 505280  43936 1055012    0    0     0     0  791  278  0  1 99  0  0  0
 0  0      0 505896  43936 1055016    0    0     0     0  771  298  0  1 99  0  0  0
 0  0      0 505620  43936 1055016    0    0     0     0 1028  306  0  2 97  0  0  0
 0  0      0 505132  43936 1055020    0    0     0     0 1010  354  0  2 98  0  0  0
 0  0      0 505900  43944 1055020    0    0     0    88 1065  348  0  2 98  0  0  0
 0  0      0 505832  43944 1055024    0    0     0     0 1128  370  0  2 98  0  0  0
 0  0      0 505692  43944 1055024    0    0     0     0  714  262  0  1 99  0  0  0
 0  0      0 505104  43944 1055028    0    0     0     0 1030  331  0  2 98  0  0  0
 0  0      0 505220  43944 1055028    0    0     0     0  756  257  0  1 99  0  0  0
 0  0      0 505452  43952 1055032    0    0     0    32  953  364  0  2 98  0  0  0
 0  0      0 504860  43952 1055036    0    0     0     0 1002  322  0  2 98  0  0  0
 0  0      0 505428  43952 1055036    0    0     0     0  700  269  0  1 99  0  0  0
 0  0      0 505820  43952 1055040    0    0     0     0  890  286  0  2 98  0  0  0
 0  0      0 504900  43952 1055040    0    0     0     0  805  304  0  1 99  0  0  0
 0  0      0 504204  43960 1055044    0    0     0    16  717  273  0  1 99  0  0  0
 0  0      0 504496  43960 1055044    0    0     0     0  787  292  0  1 99  0  0  0
 0  0      0 504768  43960 1055044    0    0     0     0  776  259  0  1 99  0  0  0
 0  0      0 505204  43960 1055080    0    0     0     0  876  317  0  1 99  0  0  0
 0  0      0 504972  43960 1055084    0    0     0     4  881  282  0  1 99  0  0  0
 0  0      0 504792  43968 1055084    0    0     0    20  807  308  0  1 98  0  0  0
 0  0      0 504576  43968 1055088    0    0     0     0  875  276  0  1 99  0  0  0
 0  0      0 504596  43968 1055088    0    0     0     0  699  279  0  1 99  0  0  0
 0  0      0 504228  43968 1055092    0    0     0     0  742  292  0  1 99  0  0  0
