r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,497888,43872,1060772,0,0,863,427,0,1,99,0,"0,3749505316","-1,512466247","-0,393545466","-0,745880354","0,4731539056","-0,588480334","-0,116359407","-0,412989389",1
0,0,498384,43872,1060788,0,0,3233,3862,2,2,95,0,"15,82195019","-6,21708577","-6,827658659","0,0049069056","-3,163261288","2,3395431084","-3,531919273","0,5800032902",3
0,0,496964,43884,1060792,0,52,2205,2707,2,2,97,0,"11,382195036","-4,881491815","-4,703569161","1,0321846897","-2,388396504","1,7046834872","-1,762509447","0,3129305253",3
0,0,496664,43884,1060796,0,0,9965,1284,1,2,97,0,"9,5589741678","-4,178394829","-5,006453983","-5,950692355","2,8528904972","-1,81324521","0,3255599983","8,424327631",5
0,0,496320,43884,1060796,0,0,4377,546,0,1,99,0,"2,0362200218","-1,950152358","-1,598232745","-2,872707402","1,6453225398","-1,278363554","0,319621128","3,7241134707",6
0,0,502360,43884,1060800,0,0,2156,406,0,1,99,0,"0,6055248908","-2,037067988","-0,817798889","-1,460320811","0,8864363956","-0,853353719","0,1086771396","0,9555421298",6
0,0,500952,43884,1060804,0,0,3611,374,0,0,100,0,"-0,431982575","-1,977815414","-0,980374577","-1,785889073","0,5622988427","-0,662311914","-0,182064265","4,1956118765",6
1,0,500880,43892,1060808,0,16,940,471,0,1,99,0,"0,5334704629","-1,932466992","0,338609613","-1,472805557","0,5667828624","1,8087221183","0,9819988394","-0,381205492",10
1,0,500600,43892,1060812,0,0,9007,512,0,1,99,0,"3,5968479479","-3,034690136","-2,217410953","-6,687604232","3,4239669344","0,0663414742","1,8470641145","8,8596182553",5
1,0,501192,43892,1060812,0,0,964,398,0,1,99,0,"0,2972872468","-1,863214545","0,3822139168","-1,792932404","0,6193719656","1,7535282396","0,7112832213","-0,472717127",10
0,0,501076,43892,1060816,0,0,949,437,0,0,99,0,"-0,419001876","-1,817221216","-0,366622484","-0,150802265","-0,390090193","-0,062185945","-0,593116737","0,6298398444",7
0,0,501476,43892,1060816,0,0,748,288,0,1,99,0,"-0,143905282","-1,665272965","-0,228918313","-0,666222521","0,5119435351","-0,641402111","-0,013431561","-0,688422725",1
0,0,500656,43900,1060824,0,16,850,334,0,1,99,0,"0,1045954097","-1,679122273","-0,271095083","-0,44340929","0,5396200419","-0,637552936","0,2967237383","-0,448111963",1
0,0,500628,43900,1060824,0,0,670,257,0,1,99,0,"-0,20116762","-1,549932522","-0,15586413","-0,646731025","0,5281237033","-0,653566417","-0,002770538","-0,767601855",1
1,0,497160,43900,1060828,0,0,795,320,0,1,99,0,"0,2500892765","-1,432830933","0,5801561637","-1,800555341","0,7041972957","1,6999561481","0,7383583733","-0,591939892",10
0,0,500876,43900,1060828,0,0,3729,296,0,1,99,0,"1,0218273221","-2,031508605","-1,144951431","-2,501319524","1,5914792167","-1,295062914","0,4339068032","2,7679877149",6
0,0,500804,43900,1060832,0,0,3791,288,0,1,99,0,"1,0305737027","-2,027949692","-1,153175502","-2,544506923","1,6234383338","-1,315584156","0,449707003","2,8384248726",6
0,0,501216,43908,1060828,0,16,730,311,0,1,99,0,"-0,016662985","-1,681969892","-0,212242492","-0,36750622","0,5089585851","-0,623392521","0,2979401507","-0,609132321",1
0,0,500900,43908,1060836,0,0,5310,290,0,1,99,0,"1,6017972812","-2,242107058","-1,622074232","-3,471754035","2,1681423286","-1,64646341","0,6800873265","4,5886546527",5
0,0,500600,43908,1060840,0,0,531,244,0,0,100,0,"-1,856702735","-1,384732639","0,1303825326","0,0440998391","-0,417918309","-0,083935357","-0,549808048","0,6060081771",7
0,0,500964,43908,1060840,0,0,819,274,0,1,99,0,"-0,121012748","-1,600962249","-0,226196212","-0,721155891","0,5569416118","-0,668706241","0,0065070249","-0,59782893",1
0,0,497260,43908,1060844,0,0,2762,238,0,0,99,0,"-0,00297933","-1,583918155","-0,628826072","-1,425834756","0,5331202461","-0,645013095","-0,164614598","2,7464503735",6
0,0,500564,43916,1060836,0,16,6044,337,0,1,99,0,"2,0666344872","-2,387087859","-1,865171105","-3,627277693","2,4157234363","-1,777473377","1,0872745837","5,545607744",5
1,0,497616,43916,1060848,0,0,568,223,0,0,99,0,"-0,774377008","-1,391494464","0,8684321946","-1,117648959","-0,114823157","2,1887957889","0,2942301218","0,1207471948",10
0,0,501116,43916,1060848,0,0,765,285,0,1,99,0,"-0,121956094","-1,604070503","-0,22464734","-0,677399524","0,521549762","-0,645298019","-0,010826563","-0,659669059",1
