procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 494880  43872 1060712    0    0  4171   109 1128    1  1  2 96  1  0  0
 0  0      0 497888  43872 1060772    0    0     0     0  863  427  0  1 99  0  0  0
 0  0      0 498384  43872 1060788    0    0     0     0 3233 3862  2  2 95  0  0  0
 0  0      0 496964  43884 1060792    0    0     0    52 2205 2707  2  2 97  0  0  0
 0  0      0 496664  43884 1060796    0    0     0     0 9965 1284  1  2 97  0  0  0
 0  0      0 496320  43884 1060796    0    0     0     0 4377  546  0  1 99  0  0  0
 0  0      0 502360  43884 1060800    0    0     0     0 2156  406  0  1 99  0  0  0
 0  0      0 500952  43884 1060804    0    0     0     0 3611  374  0  0 100  0  0  0
 1  0      0 500880  43892 1060808    0    0     0    16  940  471  0  1 99  0  0  0
 1  0      0 500600  43892 1060812    0    0     0     0 9007  512  0  1 99  0  0  0
 1  0      0 501192  43892 1060812    0    0     0     0  964  398  0  1 99  0  0  0
 0  0      0 501076  43892 1060816    0    0     0     0  949  437  0  0 99  0  0  0
 0  0      0 501476  43892 1060816    0    0     0     0  748  288  0  1 99  0  0  0
 0  0      0 500656  43900 1060824    0    0     0    16  850  334  0  1 99  0  0  0
 0  0      0 500628  43900 1060824    0    0     0     0  670  257  0  1 99  0  0  0
 1  0      0 497160  43900 1060828    0    0     0     0  795  320  0  1 99  0  0  0
 0  0      0 500876  43900 1060828    0    0     0     0 3729  296  0  1 99  0  0  0
 0  0      0 500804  43900 1060832    0    0     0     0 3791  288  0  1 99  0  0  0
 0  0      0 501216  43908 1060828    0    0     0    16  730  311  0  1 99  0  0  0
 0  0      0 500900  43908 1060836    0    0     0     0 5310  290  0  1 99  0  0  0
 0  0      0 500600  43908 1060840    0    0     0     0  531  244  0  0 100  0  0  0
 0  0      0 500964  43908 1060840    0    0     0     0  819  274  0  1 99  0  0  0
 0  0      0 497260  43908 1060844    0    0     0     0 2762  238  0  0 99  0  0  0
 0  0      0 500564  43916 1060836    0    0     0    16 6044  337  0  1 99  0  0  0
 1  0      0 497616  43916 1060848    0    0     0     0  568  223  0  0 99  0  0  0
 0  0      0 501116  43916 1060848    0    0     0     0  765  285  0  1 99  0  0  0
 0  0      0 500440  43916 1060852    0    0     0     0 1363  243  0  1 99  0  0  0
 0  0      0 502600  43916 1060852    0    0     0     0  653  269  0  0 99  0  0  0
 0  0      0 501632  43924 1060856    0    0     0    20 5439  336  0  1 99  0  0  0
 1  0      0 500632  43924 1060860    0    0     0    72  728  263  0  1 99  0  0  0
 0  0      0 501172  43924 1060860    0    0     0     0  900  333  0  1 98  0  0  0
 0  0      0 501044  43924 1060864    0    0     0     4  711  294  0  1 99  0  0  0
 0  0      0 500156  43924 1060864    0    0     0     0  645  234  0  0 100  0  0  0
 0  0      0 501264  43924 1060864    0    0     0     0  854  325  0  1 99  0  0  0
 0  0      0 502056  43932 1060868    0    0     0    68  680  250  0  1 99  0  0  0
 0  0      0 502500  43932 1060872    0    0     0     0 1489 1393  1  1 98  0  0  0
 0  0      0 503064  43932 1060872    0    0     0     0  558  263  0  0 99  0  0  0
 0  0      0 502344  43932 1060876    0    0     0     0  586  259  0  0 100  0  0  0
 0  0      0 502712  43932 1060876    0    0     0     0  695  312  0  1 99  0  0  0
 0  0      0 501916  43940 1060872    0    0     0    16  700  400  0  1 99  0  0  0
 0  0      0 502480  43940 1060880    0    0     0     0  704  293  0  1 99  0  0  0
 0  0      0 501924  43940 1060884    0    0     0     0  811  279  0  1 99  0  0  0
 0  0      0 502512  43940 1060884    0    0     0     0  794  266  0  1 99  0  0  0
 0  0      0 502428  43940 1060888    0    0     0     0  999  332  0  1 99  0  0  0
 0  0      0 502004  43948 1060892    0    0     0    16  601  249  0  0 99  0  0  0
 0  0      0 503044  43948 1060892    0    0     0     0  583  268  0  0 99  0  0  0
 0  0      0 503504  43948 1060892    0    0     0     0  686  287  0  1 99  0  0  0
 0  0      0 503340  43948 1060900    0    0     0     0  646  273  0  1 99  0  0  0
 0  0      0 503304  43948 1060904    0    0     0     0  641  262  0  0 100  0  0  0
 0  0      0 503688  43956 1060896    0    0     0    16  548  266  0  0 100  0  0  0
 0  0      0 503680  43956 1060904    0    0     0     0 3203  580  0  1 99  0  0  0
 0  0      0 503384  43956 1060908    0    0     0     0  706  285  0  1 99  0  0  0
 0  0      0 503792  43956 1060912    0    0     0     0  683  250  0  1 99  0  0  0
 0  0      0 502696  43956 1060912    0    0     0     0  693  304  0  1 99  0  0  0
 0  0      0 503484  43964 1060916    0    0     0    24  741  294  0  1 99  0  0  0
 0  0      0 503228  43964 1060916    0    0     0     0  557  244  0  0 100  0  0  0
 0  0      0 503896  43964 1060920    0    0     0     0  640  254  0  1 99  0  0  0
 0  0      0 503584  43964 1060924    0    0     0     0  738  277  0  1 99  0  0  0
 0  0      0 503264  43964 1060924    0    0     0     0  743  284  0  1 99  0  0  0
 0  0      0 502644  43972 1060928    0    0     0    96  690  324  0  1 99  0  0  0
 1  0      0 502796  43972 1060928    0    0     0     0  631  258  0  0 100  0  0  0
 0  0      0 502916  43972 1060932    0    0     0     0  815  299  0  1 99  0  0  0
 1  0      0 502080  43972 1060932    0    0     0     0  654  242  0  1 99  0  0  0
 0  0      0 501876  43972 1060932    0    0     0     8  799  332  0  1 99  0  0  0
 0  0      0 502000  43980 1060936    0    0     0    24  937  304  0  1 99  0  0  0
 0  0      0 503544  43980 1060940    0    0     0     0  646  289  0  1 99  0  0  0
 0  0      0 504024  43980 1060940    0    0     0     0  720  311  0  1 99  0  0  0
 0  0      0 502944  43980 1060944    0    0     0     0  692  265  0  0 100  0  0  0
 0  0      0 503592  43980 1060944    0    0     0     0  753  314  0  1 99  0  0  0
 0  0      0 503072  43988 1060940    0    0     0    36  640  294  0  0 100  0  0  0
 0  0      0 503544  43988 1060948    0    0     0     0  580  252  0  0 100  0  0  0
 0  0      0 504016  43988 1060952    0    0     0     0  779  293  0  1 99  0  0  0
 0  0      0 503628  43988 1060956    0    0     0     0  660  274  0  0 100  0  0  0
 1  0      0 501380  43988 1060956    0    0     0     0  908  344  0  1 99  0  0  0
 0  0      0 501824  43996 1060952    0    0     0    16  795  288  0  1 99  0  0  0
 0  0      0 503916  43996 1060960    0    0     0     0  675  288  0  1 99  0  0  0
 2  0      0 500888  43996 1060964    0    0     0     0  856  295  0  1 99  0  0  0
 0  0      0 504272  43996 1060964    0    0     0     0  842  301  0  1 99  0  0  0
 0  0      0 504388  43996 1060968    0    0     0     0  728  315  0  1 99  0  0  0
 0  0      0 503752  43996 1060968    0    0     0     0  685  273  0  1 99  0  0  0
 1  0      0 502616  44004 1060976    0    0     0    16  588  257  0  0 100  0  0  0
 1  0      0 504564  44004 1060976    0    0     0     0  769  287  0  1 99  0  0  0
 0  0      0 504288  44004 1060980    0    0     0     0  743  265  0  1 99  0  0  0
 0  0      0 503956  44004 1060980    0    0     0     0  696  290  0  1 99  0  0  0
 0  0      0 503508  44004 1060984    0    0     0     0  811  282  0  1 99  0  0  0
