timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759778524398,159,HTTP Img [m],200,OK,Thread Group 1000 1-2,bin,true,,8388901,130,2,6,http://192.168.100.2/img_medium.jpg,10,0,0
1759778524078,479,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388901,130,2,6,http://192.168.100.2/img_medium.jpg,304,0,45
1759778524597,818,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-2,text,true,,10486075,133,4,10,http://192.168.100.2/thunderstorm.html,627,0,0
1759778524597,823,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,4,11,http://192.168.100.2/img_medium.jpg,627,0,0
1759778525393,159,HTTP Napoli [l],200,OK,Thread Group 1000 1-4,text,true,,839616,130,4,12,http://192.168.100.2/sscNapoli.html,119,0,0
1759778525228,482,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-3,text,true,,10486076,133,4,12,http://192.168.100.2/thunderstorm.html,28,0,3
1759778525421,408,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,4,12,http://192.168.100.2/img_medium.jpg,37,0,0
1759778525711,318,HTTP Img [m],200,OK,Thread Group 1000 1-3,bin,true,,8388900,130,5,15,http://192.168.100.2/img_medium.jpg,8,0,0
1759778525417,621,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-2,text,true,,10486075,133,5,15,http://192.168.100.2/thunderstorm.html,45,0,0
1759778525632,643,HTTP Img [m],200,OK,Thread Group 1000 1-4,bin,true,,8388900,130,5,15,http://192.168.100.2/img_medium.jpg,29,0,0
1759778526040,323,HTTP Napoli [l],200,OK,Thread Group 1000 1-2,text,true,,839615,130,5,15,http://192.168.100.2/sscNapoli.html,292,0,0
1759778526031,390,HTTP Napoli [l],200,OK,Thread Group 1000 1-3,text,true,,839615,130,6,17,http://192.168.100.2/sscNapoli.html,336,0,0
1759778526392,217,HTTP Napoli [l],200,OK,Thread Group 1000 1-6,text,true,,839616,130,6,18,http://192.168.100.2/sscNapoli.html,88,0,10
1759778526284,628,HTTP Img [m],200,OK,Thread Group 1000 1-4,bin,true,,8388900,130,7,19,http://192.168.100.2/img_medium.jpg,40,0,0
1759778525830,1145,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-1,text,true,,10486075,133,7,21,http://192.168.100.2/thunderstorm.html,59,0,0
1759778525894,1113,HTTP Img [m],200,OK,Thread Group 1000 1-5,bin,true,,8388901,130,7,21,http://192.168.100.2/img_medium.jpg,143,0,0
1759778526364,654,HTTP Img [m],200,OK,Thread Group 1000 1-2,bin,true,,8388900,130,7,21,http://192.168.100.2/img_medium.jpg,5,0,0
1759778526976,87,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,7,21,http://192.168.100.2/sscNapoli.html,45,0,0
1759778526422,711,HTTP Img [m],200,OK,Thread Group 1000 1-3,bin,true,,8388900,130,7,21,http://192.168.100.2/img_medium.jpg,10,0,0
1759778527019,122,HTTP Napoli [l],200,OK,Thread Group 1000 1-2,text,true,,839615,130,7,21,http://192.168.100.2/sscNapoli.html,40,0,0
1759778527134,225,HTTP Napoli [l],200,OK,Thread Group 1000 1-3,text,true,,839615,130,7,21,http://192.168.100.2/sscNapoli.html,139,0,0
1759778527437,184,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,8,24,http://192.168.100.2/sscNapoli.html,7,0,0
1759778526892,735,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-7,text,true,,10486076,133,8,24,http://192.168.100.2/thunderstorm.html,88,0,8
1759778527440,197,HTTP Napoli [l],200,OK,Thread Group 1000 1-2,text,true,,839615,130,8,24,http://192.168.100.2/sscNapoli.html,33,0,0
1759778526913,746,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,8,24,http://192.168.100.2/thunderstorm.html,29,0,0
1759778527444,229,HTTP Napoli [l],200,OK,Thread Group 1000 1-8,text,true,,839616,130,8,24,http://192.168.100.2/sscNapoli.html,172,0,3
1759778526852,821,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-6,text,true,,10486075,133,8,24,http://192.168.100.2/thunderstorm.html,116,0,0
1759778527008,755,HTTP Img [m],200,OK,Thread Group 1000 1-5,bin,true,,8388900,130,8,24,http://192.168.100.2/img_medium.jpg,90,0,0
1759778527674,108,HTTP Napoli [l],200,OK,Thread Group 1000 1-6,text,true,,839615,130,8,24,http://192.168.100.2/sscNapoli.html,77,0,0
1759778527554,271,HTTP Napoli [l],200,OK,Thread Group 1000 1-3,text,true,,839615,130,8,24,http://192.168.100.2/sscNapoli.html,51,0,0
1759778528154,238,HTTP Napoli [l],200,OK,Thread Group 1000 1-6,text,true,,839615,130,9,27,http://192.168.100.2/sscNapoli.html,223,0,0
1759778527662,746,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,10,28,http://192.168.100.2/thunderstorm.html,49,0,0
1759778527628,842,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-7,text,true,,10486075,133,10,30,http://192.168.100.2/thunderstorm.html,123,0,0
1759778528403,135,HTTP Napoli [l],200,OK,Thread Group 1000 1-10,text,true,,839616,130,10,30,http://192.168.100.2/sscNapoli.html,59,0,1
1759778528471,75,HTTP Napoli [l],200,OK,Thread Group 1000 1-7,text,true,,839615,130,10,30,http://192.168.100.2/sscNapoli.html,30,0,0
1759778527766,806,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-5,text,true,,10486075,133,10,30,http://192.168.100.2/thunderstorm.html,5,0,0
1759778528573,64,HTTP Napoli [l],200,OK,Thread Group 1000 1-5,text,true,,839615,130,10,30,http://192.168.100.2/sscNapoli.html,18,0,0
1759778527919,854,HTTP Img [m],200,OK,Thread Group 1000 1-2,bin,true,,8388900,130,10,30,http://192.168.100.2/img_medium.jpg,187,0,0
1759778527894,911,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,10,30,http://192.168.100.2/img_medium.jpg,208,0,0
1759778527922,926,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-8,text,true,,10486075,133,10,30,http://192.168.100.2/thunderstorm.html,187,0,0
1759778528892,87,HTTP Napoli [l],200,OK,Thread Group 1000 1-11,text,true,,839616,130,11,33,http://192.168.100.2/sscNapoli.html,63,0,1
1759778528034,1034,HTTP Img [m],200,OK,Thread Group 1000 1-3,bin,true,,8388900,130,11,33,http://192.168.100.2/img_medium.jpg,343,0,0
1759778528408,746,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,11,33,http://192.168.100.2/thunderstorm.html,32,0,0
1759778528813,544,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,11,33,http://192.168.100.2/img_medium.jpg,9,0,0
1759778528774,680,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-2,text,true,,10486075,133,12,36,http://192.168.100.2/thunderstorm.html,77,0,0
1759778527902,1665,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-9,text,true,,10486076,133,12,36,http://192.168.100.2/thunderstorm.html,566,0,5
1759778528695,872,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-6,text,true,,10486075,133,12,36,http://192.168.100.2/thunderstorm.html,22,0,0
1759778528849,721,HTTP Img [m],200,OK,Thread Group 1000 1-8,bin,true,,8388900,130,12,36,http://192.168.100.2/img_medium.jpg,32,0,0
1759778529555,25,HTTP Napoli [l],200,OK,Thread Group 1000 1-11,text,true,,839615,130,12,36,http://192.168.100.2/sscNapoli.html,19,0,0
1759778529472,110,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,12,36,http://192.168.100.2/sscNapoli.html,83,0,0
1759778529402,205,HTTP Napoli [l],200,OK,Thread Group 1000 1-12,text,true,,839616,130,12,36,http://192.168.100.2/sscNapoli.html,60,0,2
1759778529572,92,HTTP Napoli [l],200,OK,Thread Group 1000 1-8,text,true,,839615,130,12,36,http://192.168.100.2/sscNapoli.html,34,0,0
1759778529076,591,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-3,text,true,,10486075,133,12,36,http://192.168.100.2/thunderstorm.html,11,0,0
1759778529075,712,HTTP Img [m],200,OK,Thread Group 1000 1-7,bin,true,,8388900,130,12,36,http://192.168.100.2/img_medium.jpg,30,0,0
1759778529156,688,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,12,36,http://192.168.100.2/thunderstorm.html,18,0,0
1759778529175,1145,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-5,text,true,,10486075,133,13,39,http://192.168.100.2/thunderstorm.html,35,0,0
1759778530193,175,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,13,39,http://192.168.100.2/sscNapoli.html,149,0,0
1759778530321,541,HTTP Napoli [l],200,OK,Thread Group 1000 1-5,text,true,,839615,130,14,42,http://192.168.100.2/sscNapoli.html,298,0,0
1759778529496,1451,HTTP Img [m],200,OK,Thread Group 1000 1-2,bin,true,,8388900,130,15,45,http://192.168.100.2/img_medium.jpg,127,0,0
1759778530949,178,HTTP Napoli [l],200,OK,Thread Group 1000 1-2,text,true,,839615,130,15,45,http://192.168.100.2/sscNapoli.html,59,0,0
1759778529005,2148,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-10,text,true,,10486075,133,15,45,http://192.168.100.2/thunderstorm.html,28,0,0
1759778530893,284,HTTP Napoli [l],200,OK,Thread Group 1000 1-15,text,true,,839616,130,15,45,http://192.168.100.2/sscNapoli.html,55,0,1
1759778531163,237,HTTP Napoli [l],200,OK,Thread Group 1000 1-5,text,true,,839615,130,16,46,http://192.168.100.2/sscNapoli.html,126,0,0
1759778529569,1851,HTTP Img [m],200,OK,Thread Group 1000 1-6,bin,true,,8388900,130,16,47,http://192.168.100.2/img_medium.jpg,53,0,0
1759778531393,59,HTTP Napoli [l],200,OK,Thread Group 1000 1-16,text,true,,839616,130,16,48,http://192.168.100.2/sscNapoli.html,6,0,1
1759778530274,1194,HTTP Img [m],200,OK,Thread Group 1000 1-11,bin,true,,8388900,130,16,48,http://192.168.100.2/img_medium.jpg,10,0,0
1759778529893,1631,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-13,text,true,,10486076,133,16,48,http://192.168.100.2/thunderstorm.html,373,0,3
1759778530978,577,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,16,48,http://192.168.100.2/img_medium.jpg,57,0,0
1759778531525,43,HTTP Napoli [l],200,OK,Thread Group 1000 1-13,text,true,,839615,130,16,48,http://192.168.100.2/sscNapoli.html,37,0,0
1759778529569,2001,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-9,text,true,,10486075,133,16,48,http://192.168.100.2/thunderstorm.html,54,0,0
1759778529876,1711,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,16,48,http://192.168.100.2/thunderstorm.html,384,0,0
1759778529796,2189,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-3,text,true,,10486075,133,17,51,http://192.168.100.2/thunderstorm.html,36,0,0
1759778529792,2239,HTTP Img [m],200,OK,Thread Group 1000 1-7,bin,true,,8388900,130,17,51,http://192.168.100.2/img_medium.jpg,36,0,0
1759778531571,513,HTTP Napoli [l],200,OK,Thread Group 1000 1-9,text,true,,839615,130,17,51,http://192.168.100.2/sscNapoli.html,504,0,0
1759778531469,933,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-11,text,true,,10486075,133,18,52,http://192.168.100.2/thunderstorm.html,21,0,0
1759778531933,590,HTTP Img [m],200,OK,Thread Group 1000 1-1,bin,true,,8388900,130,18,54,http://192.168.100.2/img_medium.jpg,274,0,0
1759778532549,64,HTTP Napoli [l],200,OK,Thread Group 1000 1-11,text,true,,839615,130,18,54,http://192.168.100.2/sscNapoli.html,16,0,0
1759778532494,132,HTTP Napoli [l],200,OK,Thread Group 1000 1-13,text,true,,839615,130,18,54,http://192.168.100.2/sscNapoli.html,79,0,0
1759778532396,286,HTTP Napoli [l],200,OK,Thread Group 1000 1-18,text,true,,839616,130,18,54,http://192.168.100.2/sscNapoli.html,214,0,0
1759778530392,2338,HTTP Img [m],200,OK,Thread Group 1000 1-14,bin,true,,8388901,130,18,54,http://192.168.100.2/img_medium.jpg,208,0,28
1759778531891,923,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-17,text,true,,10486076,133,18,54,http://192.168.100.2/thunderstorm.html,307,0,34
1759778532352,700,HTTP Img [m],200,OK,Thread Group 1000 1-16,bin,true,,8388900,130,19,57,http://192.168.100.2/img_medium.jpg,32,0,0
1759778532121,950,HTTP Img [m],200,OK,Thread Group 1000 1-5,bin,true,,8388900,130,19,57,http://192.168.100.2/img_medium.jpg,75,0,0
1759778531588,1888,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-4,text,true,,10486075,133,19,57,http://192.168.100.2/thunderstorm.html,469,0,0
1759778530292,3183,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-8,text,true,,10486075,133,19,57,http://192.168.100.2/thunderstorm.html,76,0,0
1759778532971,1399,HTTP Napoli [l],200,OK,Thread Group 1000 1-17,text,true,,839615,130,21,63,http://192.168.100.2/sscNapoli.html,200,0,0
1759778533013,1359,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,21,63,http://192.168.100.2/sscNapoli.html,463,0,0
1759778531423,3028,HTTP Img [m],200,OK,Thread Group 1000 1-6,bin,true,,8388900,130,22,66,http://192.168.100.2/img_medium.jpg,47,0,0
1759778531849,2683,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-2,text,true,,10486075,133,22,66,http://192.168.100.2/thunderstorm.html,351,0,0
1759778534531,654,HTTP Napoli [l],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-2,text,false,,2069,0,23,69,http://192.168.100.2/sscNapoli.html,0,0,0
1759778532032,3262,HTTP Img [m],200,OK,Thread Group 1000 1-7,bin,true,,8388900,130,23,69,http://192.168.100.2/img_medium.jpg,6,0,0
1759778530120,5615,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-12,text,true,,10486075,133,24,72,http://192.168.100.2/thunderstorm.html,187,0,0
1759778531155,4632,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-10,text,true,,10486075,133,24,72,http://192.168.100.2/thunderstorm.html,154,0,0
1759778534371,1550,HTTP Napoli [l],200,OK,Thread Group 1000 1-1,text,true,,839615,130,25,74,http://192.168.100.2/sscNapoli.html,1496,0,0
1759778535921,49,HTTP Thunderstorm [h],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-1,text,false,,2069,0,25,75,http://192.168.100.2/thunderstorm.html,0,0,0
1759778533551,2489,HTTP Napoli [l],200,OK,Thread Group 1000 1-20,text,true,,839616,130,25,75,http://192.168.100.2/sscNapoli.html,1587,0,4
1759778535786,399,HTTP Napoli [l],200,OK,Thread Group 1000 1-10,text,true,,839615,130,25,75,http://192.168.100.2/sscNapoli.html,3,0,0
1759778535903,287,HTTP Napoli [l],200,OK,Thread Group 1000 1-25,text,true,,839616,130,25,75,http://192.168.100.2/sscNapoli.html,187,0,1
1759778531986,4246,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-3,text,true,,10486075,133,25,75,http://192.168.100.2/thunderstorm.html,342,0,0
1759778533476,2762,HTTP Napoli [l],200,OK,Thread Group 1000 1-18,text,true,,839615,130,25,75,http://192.168.100.2/sscNapoli.html,1489,0,0
1759778536039,215,HTTP Img [m],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-20,text,false,,2069,0,25,75,http://192.168.100.2/img_medium.jpg,0,0,0
1759778534077,2178,HTTP Napoli [l],200,OK,Thread Group 1000 1-11,text,true,,839615,130,25,75,http://192.168.100.2/sscNapoli.html,1725,0,0
1759778536232,22,HTTP Thunderstorm [h],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-3,text,false,,2069,0,25,75,http://192.168.100.2/thunderstorm.html,0,0,0
1759778533476,2834,HTTP Napoli [l],200,OK,Thread Group 1000 1-4,text,true,,839615,130,25,75,http://192.168.100.2/sscNapoli.html,1425,0,0
1759778533565,2783,HTTP Napoli [l],200,OK,Thread Group 1000 1-13,text,true,,839615,130,25,75,http://192.168.100.2/sscNapoli.html,1367,0,0
1759778532591,3786,HTTP Img [m],200,OK,Thread Group 1000 1-9,bin,true,,8388900,130,25,75,http://192.168.100.2/img_medium.jpg,34,0,0
1759778531793,4633,HTTP Img [m],200,OK,Thread Group 1000 1-15,bin,true,,8388900,130,26,77,http://192.168.100.2/img_medium.jpg,391,0,0
1759778536256,251,HTTP Napoli [l],200,OK,Thread Group 1000 1-11,text,true,,839615,130,26,78,http://192.168.100.2/sscNapoli.html,86,0,0
1759778536348,581,HTTP Napoli [l],200,OK,Thread Group 1000 1-13,text,true,,839615,130,27,80,http://192.168.100.2/sscNapoli.html,160,0,0
1759778536897,144,HTTP Napoli [l],200,OK,Thread Group 1000 1-27,text,true,,839616,130,27,81,http://192.168.100.2/sscNapoli.html,56,0,1
1759778533546,3563,HTTP Img [m],200,OK,Thread Group 1000 1-16,bin,true,,8388900,130,27,81,http://192.168.100.2/img_medium.jpg,908,0,0
1759778536377,825,HTTP Img [m],200,OK,Thread Group 1000 1-9,bin,true,,8388900,130,27,81,http://192.168.100.2/img_medium.jpg,79,0,0
1759778537287,0,HTTP Thunderstorm [h],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-10,text,false,,2069,0,27,81,http://192.168.100.2/thunderstorm.html,0,0,0
1759778537401,2,HTTP Napoli [l],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-25,text,false,,2069,0,28,82,http://192.168.100.2/sscNapoli.html,0,0,0
1759778533476,3937,HTTP Thunderstorm [h],200,OK,Thread Group 1000 1-8,text,true,,10486075,133,28,82,http://192.168.100.2/thunderstorm.html,1459,0,0
1759778537816,1,HTTP Napoli [l],Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.2:80 failed to respond,Thread Group 1000 1-11,text,false,,2069,0,28,84,http://192.168.100.2/sscNapoli.html,0,0,0
