timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762543639453,108,HTTP heavy_5,200,OK,Thread Group 900 1-1,bin,true,,9728293,141,1,1,http://192.168.100.2/workload_test/heavy_5.jpg,43,0,33
1762543639563,9,HTTP medium_8,200,OK,Thread Group 900 1-1,bin,true,,1229092,142,1,1,http://192.168.100.2/workload_test/medium_8.mp3,1,0,0
1762543639630,2,HTTP light_4,200,OK,Thread Group 900 1-1,text,true,,14627,141,1,1,http://192.168.100.2/workload_test/light_4.svg,2,0,0
1762543639697,7,HTTP medium_4,200,OK,Thread Group 900 1-1,bin,true,,409889,142,1,1,http://192.168.100.2/workload_test/medium_4.gif,2,0,0
1762543639764,2,HTTP light_4,200,OK,Thread Group 900 1-1,text,true,,14627,141,1,1,http://192.168.100.2/workload_test/light_4.svg,2,0,0
1762543639831,4,HTTP light_9,200,OK,Thread Group 900 1-1,text,true,,77089,143,1,1,http://192.168.100.2/workload_test/light_9.woff2,3,0,0
1762543639843,47,HTTP heavy_2,200,OK,Thread Group 900 1-2,text,true,,3891498,141,2,2,http://192.168.100.2/workload_test/heavy_2.zip,3,0,1
1762543639901,3,HTTP light_8,200,OK,Thread Group 900 1-1,bin,true,,51488,141,2,2,http://192.168.100.2/workload_test/light_8.jpg,2,0,0
1762543639974,2,HTTP light_4,200,OK,Thread Group 900 1-2,text,true,,14627,141,2,2,http://192.168.100.2/workload_test/light_4.svg,2,0,0
1762543640031,2,HTTP light_4,200,OK,Thread Group 900 1-1,text,true,,14627,141,2,2,http://192.168.100.2/workload_test/light_4.svg,2,0,0
1762543640107,2,HTTP light_4,200,OK,Thread Group 900 1-2,text,true,,14627,141,2,2,http://192.168.100.2/workload_test/light_4.svg,1,0,0
1762543640164,3,HTTP light_9,200,OK,Thread Group 900 1-1,text,true,,77089,143,2,2,http://192.168.100.2/workload_test/light_9.woff2,2,0,0
1762543640240,2,HTTP light_8,200,OK,Thread Group 900 1-2,bin,true,,51488,141,2,2,http://192.168.100.2/workload_test/light_8.jpg,2,0,0
1762543640297,7,HTTP medium_4,200,OK,Thread Group 900 1-1,bin,true,,409889,142,2,2,http://192.168.100.2/workload_test/medium_4.gif,2,0,0
1762543640374,2,HTTP light_8,200,OK,Thread Group 900 1-2,bin,true,,51488,141,3,3,http://192.168.100.2/workload_test/light_8.jpg,2,0,0
