'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
152272,150216,24508,23708,160,9,5610188,29144,334640,139780,299928,5610188,8159224,40,0,76172,23700,27792,7192,293700,510,2,-11.9167126559519,-0.914564341999665,-1.9054824801971,-1.99749676506397,1
152272,150216,24628,24588,160,15,5609652,29240,334640,140764,300020,5609652,8159224,144,0,76608,23708,27996,7188,293336,510,3,-11.7461235677178,-0.869914253118282,-1.60249022245017,-2.11619154930236,1
152272,150216,24628,24500,160,35,5610232,29336,334640,140624,300116,5610232,8159224,176,0,76608,23708,27996,7196,293336,510,4,-11.7552233669253,-0.773832272045475,-0.620209189911845,-2.48852540188026,1
152272,150216,24628,24580,160,29,5610032,29432,334640,140704,300212,5610032,8159224,20,0,76792,23708,27948,7196,295484,1020,5,-11.6455239967444,-0.422407634879349,-0.349873763994728,-0.802391857792439,1
152272,150216,24628,24500,160,29,5609896,29528,334640,140624,300308,5609896,8159224,44,0,76624,23708,27812,7192,297620,1020,6,-11.5856048923089,-0.345037516468253,-0.358073904562066,-0.811500395044189,1
152272,150216,24628,24592,160,30,5609648,29632,334640,140720,300412,5609648,8159224,24,0,76840,23708,27760,7196,295528,1530,7,-11.626648557458,-0.142868914642932,0.27329785675755,0.766346979203287,2
152272,150216,24628,24540,160,24,5609812,29728,334640,140668,300508,5609812,8159224,48,0,76828,23708,27816,7196,295528,1530,8,-11.6362421551314,-0.17023913408665,-0.0225821327973197,0.878392193500131,2
152272,150216,24628,24524,160,24,5609688,29824,334640,140656,300604,5609688,8159224,12,0,76624,23708,27792,7196,295356,1020,9,-11.6634077879661,-0.471074980372684,-0.5941559859573,-0.705898107763974,1
152272,150216,24628,24572,160,17,5609380,29920,334640,140700,300696,5609380,8159224,172,0,76620,23708,27920,7192,295288,1020,10,-11.65686403643,-0.50527885185722,-0.938273062351822,-0.575608430904987,1
152272,150216,24628,24576,160,10,5609436,30020,334636,140700,300792,5609436,8159224,132,0,76736,23708,27800,7192,297204,1530,11,-11.5721015640438,-0.171927497190126,-0.717027517638583,1.13116156425345,2
152272,150216,24628,23824,160,9,5609824,30116,334640,140020,300828,5609824,8159224,56,0,76076,23772,27776,7196,297208,1020,12,-11.7305018301772,-0.417973789937456,-1.35451291940012,-0.436674650430707,1
152272,150216,24628,24576,160,62,5609152,30212,334640,140776,300924,5609152,8159224,24,0,76676,23772,27720,7196,294880,1020,13,-11.6555759658181,-0.227489642612639,1.26616901856172,-1.42121793793538,3
152272,150216,24696,24420,160,54,5609324,30308,334640,140620,301012,5609324,8159224,56,0,76520,23772,27768,7192,296852,1020,14,-11.6047910221988,-0.19330909242094,0.864120584292665,-1.27998050165505,3
152272,150216,24696,24492,160,35,5608864,30404,334632,140684,301116,5608864,8159224,20,0,76628,23772,27788,7196,298936,1020,15,-11.5167841144379,-0.179291425578654,-0.0791272853302281,-0.938864822394643,1
152272,150216,24696,24568,160,18,5609256,30500,334640,140768,301212,5609256,8159224,36,0,76604,23772,27864,7196,294464,1530,16,-11.6601018845882,-0.193853044070458,-0.320841413150042,0.990356693176685,2
152272,150216,24696,23824,160,9,5609576,30596,334640,140024,301308,5609576,8159224,140,0,76080,23772,27788,7196,294504,2040,17,-11.7879249588399,-0.00383508410666877,-0.194408806651784,2.75480512164205,2
152272,150216,24696,23824,160,9,5608956,30700,334640,140024,301412,5608956,8159224,172,0,75984,23772,27812,7196,294504,1530,18,-11.8012592951685,-0.283100797837406,-0.768085799720569,1.16788951320376,2
152272,150216,25172,25104,160,63,5607780,30796,334644,141300,301504,5607780,8159224,20,0,77356,23772,27928,7192,294504,1530,19,-11.4571479379684,0.0698931868042081,1.89336090452498,0.14346354743308,3
152272,150216,25172,25108,160,55,5607348,30900,334636,141312,301612,5607348,8159224,52,0,77364,23772,27764,7196,294240,1530,20,-11.4686373566345,0.0223280215294395,1.50077680172174,0.293715133332715,3
152272,150216,25172,25108,160,38,5606988,30996,334648,141312,301712,5606988,8159224,20,0,77364,23772,27800,7192,296284,1020,21,-11.409828835405,-0.234825387371188,0.0816634543195298,-0.988768678450386,1
152272,150216,25172,25108,160,25,5606960,31092,334648,141316,301804,5606960,8159224,48,0,77364,23772,27808,7196,298356,1020,22,-11.3365314384444,-0.202746098647779,-0.566514983013995,-0.757886903680078,1
152272,150216,25172,25108,160,12,5607072,31188,334640,141320,301888,5607072,8159224,12,0,77364,23772,27872,7196,296112,1020,23,-11.421621108964,-0.363773603569008,-1.19646414272567,-0.503423061659384,1
152272,150216,25172,25108,160,9,5607220,31284,334648,141320,301992,5607220,8159224,176,0,77364,23772,28016,7196,296112,1020,24,-11.4200014515769,-0.374249650136427,-1.344875138967,-0.447955012226867,1
152272,150216,25172,25108,160,54,5606612,31388,334640,141324,302096,5606612,8159224,20,0,77368,23772,27828,7192,298256,1020,25,-11.3272913535758,-0.0737003309942281,0.860302054361823,-1.2972638976247,3
152272,150216,25172,25108,160,44,5606568,31484,334648,141324,302184,5606568,8159224,44,0,77368,23772,27844,7196,295880,1530,26,-11.4032450145279,0.0426476387338113,0.952749984244871,0.490069040835099,3
152272,150216,25172,25108,160,27,5606696,31580,334648,141320,302288,5606696,8159224,24,0,77364,23772,27924,7196,295724,1530,27,-11.4126744157517,-0.0443463904505137,0.117352922269035,0.807735639820892,2
152272,150216,25172,25108,160,18,5606776,31684,334640,141324,302384,5606776,8159224,56,0,77368,23772,27844,7192,295604,1530,28,-11.4200133206135,-0.0904334051560554,-0.325023563412287,0.975902552732462,2
152272,150216,25172,25108,160,9,5606600,31780,334648,141324,302488,5606600,8159224,24,0,77368,23772,27864,7192,297264,1530,29,-11.3601472407433,-0.0595070468112553,-0.774461768560363,1.13470413355678,2
152272,150216,25172,25104,160,60,5605928,31876,334648,141316,302584,5605928,8159224,32,0,77360,23772,27868,7196,296964,1530,30,-11.353875592237,0.162670564797416,1.7352064711161,0.186604018388901,3
152272,150216,25172,25104,160,47,5606032,31972,334648,141324,302672,5606032,8159224,132,0,77368,23772,27884,7196,294908,1530,31,-11.4323790065503,0.0140723984897377,1.10372372578045,0.439517072506209,3
152272,150216,25172,25104,160,31,5605796,32068,334648,141320,302776,5605796,8159224,176,0,77364,23772,27776,7192,294908,1530,32,-11.4374283912405,-0.0598965731056182,0.316577053378126,0.737484837327163,2
152272,150216,25172,25104,160,21,5606000,32172,334640,141316,302872,5606000,8159224,24,0,77360,23772,27772,7196,294908,1530,33,-11.4402262367542,-0.110457689597901,-0.174495356221545,0.924308797686405,2
152272,150216,25172,25104,160,9,5606344,32268,334648,141316,302968,5606344,8159224,56,0,77360,23772,27716,7192,294908,510,34,-11.4711679094949,-0.701499549880211,-1.91403953685783,-2.02868561296806,1
152272,150216,25172,25104,160,43,5605452,32364,334648,141316,303072,5605452,8159224,20,0,77360,23772,27820,7196,294744,1020,35,-11.4490990147314,-0.28442238922797,0.333637705651803,-1.07262695378124,3
152272,150216,25172,25104,160,54,5605488,32468,334648,141324,303172,5605488,8159224,36,0,77364,23772,27776,7196,296808,1020,36,-11.3693049361208,-0.141142108473503,0.865976794987959,-1.28874166405375,3
152272,150216,25172,25104,160,44,5605560,32564,334648,141320,303268,5605560,8159224,12,0,77360,23772,27812,7196,296752,1020,37,-11.3733643410523,-0.1913057810387,0.374492715605614,-1.10199234636716,3
152272,150216,25216,25208,160,31,5605424,32668,334644,141428,303368,5605424,8159224,184,0,77468,23772,27812,7192,294548,1020,38,-11.4302566229048,-0.337853480255099,-0.256195926937571,-0.849860399554255,1
152272,150216,25216,25208,160,21,5605380,32764,334652,141432,303468,5605380,8159224,140,0,77468,23772,27856,7196,294548,1530,39,-11.4184090105948,-0.117558218093706,-0.173285683388428,0.924814741730326,2
152272,150216,25228,25208,160,9,5605344,32860,334652,141432,303564,5605344,8159224,52,0,77468,23772,27860,7196,296596,1530,40,-11.3439897008204,-0.0850395511702189,-0.771557219168622,1.13762418913592,2
152272,150216,25228,25208,160,56,5604472,32952,334644,141428,303648,5604472,8159224,28,0,77464,23772,27852,7192,298652,1530,41,-11.251286403469,0.222811153642645,1.53175065453293,0.251295532681398,3
152272,150216,25228,25208,160,50,5604760,33048,334652,141436,303752,5604760,8159224,68,0,77472,23772,27828,7192,298592,1530,42,-11.2551064498771,0.194006676679457,1.23659279954972,0.363185393890134,3
152272,150216,25228,25208,160,34,5604888,33144,334652,141436,303848,5604888,8159224,36,0,77472,23772,27832,7196,296468,1530,43,-11.3375211271288,0.0245064230796217,0.458582681155932,0.67284955290847,2
152272,150216,25228,25208,160,21,5605000,33240,334672,141432,303940,5605000,8159224,48,0,77468,23772,27824,7196,296528,1530,44,-11.3388827547281,-0.0335755437664531,-0.181106318049759,0.914726226348081,2
152272,150216,25228,25208,160,9,5604980,33336,334672,141440,304040,5604980,8159224,124,0,77472,23772,27860,7192,294324,1530,45,-11.4220793525916,-0.185177790377232,-0.76263429142572,1.14995201214434,2
