'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
152272,150216,24508,23708,160,9,5610188,29144,334640,139780,299928,5610188,8159224,40,0,76172,23700,27792,7192,293700,510,2,-11.9191968173054,-0.85613461185531,-2.02357322565734,-1.91333427815274,1
152272,150216,24628,24588,160,15,5609652,29240,334640,140764,300020,5609652,8159224,144,0,76608,23708,27996,7188,293336,510,3,-11.7488913569089,-0.847262598206982,-1.72188545998744,-2.04398918923369,1
152272,150216,24628,24500,160,35,5610232,29336,334640,140624,300116,5610232,8159224,176,0,76608,23708,27996,7196,293336,510,4,-11.7572690362902,-0.720357849977077,-0.762880791792199,-2.46649029984079,1
152272,150216,24628,24580,160,29,5610032,29432,334640,140704,300212,5610032,8159224,20,0,76792,23708,27948,7196,295484,1020,5,-11.6472176818001,-0.430003356294748,-0.396829054900854,-0.788449043194669,1
152272,150216,24628,24500,160,29,5609896,29528,334640,140624,300308,5609896,8159224,44,0,76624,23708,27812,7192,297620,1020,6,-11.5875301708352,-0.388774456201006,-0.398689860356785,-0.793276306519168,1
152272,150216,24628,24592,160,30,5609648,29632,334640,140720,300412,5609648,8159224,24,0,76840,23708,27760,7196,295528,1530,7,-11.6280827318996,-0.205087452735654,0.311547823078687,0.75251488600834,2
152272,150216,24628,24540,160,24,5609812,29728,334640,140668,300508,5609812,8159224,48,0,76828,23708,27816,7196,295528,1530,8,-11.6376984371772,-0.226144524558862,0.0208669376993189,0.878625157004869,2
152272,150216,24628,24524,160,24,5609688,29824,334640,140656,300604,5609688,8159224,12,0,76624,23708,27792,7196,295356,1020,9,-11.665149907209,-0.47009364392747,-0.637863440189507,-0.681048516378176,1
152272,150216,24628,24572,160,17,5609380,29920,334640,140700,300696,5609380,8159224,172,0,76620,23708,27920,7192,295288,1020,10,-11.6589556234731,-0.522796788661793,-0.972962352579018,-0.532680994249089,1
152272,150216,24628,24576,160,10,5609436,30020,334636,140700,300792,5609436,8159224,132,0,76736,23708,27800,7192,297204,1530,11,-11.5738599226078,-0.24759146648185,-0.655719584058571,1.16794063198978,2
152272,150216,24628,23824,160,9,5609824,30116,334640,140020,300828,5609824,8159224,56,0,76076,23772,27776,7196,297208,1020,12,-11.732154834734,-0.415997599702266,-1.3801888863992,-0.372517478846431,1
152272,150216,24628,24576,160,62,5609152,30212,334640,140776,300924,5609152,8159224,24,0,76676,23772,27720,7196,294880,1020,13,-11.6570929223447,-0.274641405913215,1.192324628843,-1.48306336048083,3
152272,150216,24696,24420,160,54,5609324,30308,334640,140620,301012,5609324,8159224,56,0,76520,23772,27768,7192,296852,1020,14,-11.6065769821887,-0.267362637643672,0.803283421606659,-1.31899950510007,3
152272,150216,24696,24492,160,35,5608864,30404,334632,140684,301116,5608864,8159224,20,0,76628,23772,27788,7196,298936,1020,15,-11.5182057862984,-0.220927212551814,-0.122203620634489,-0.931939339057752,1
152272,150216,24696,24568,160,18,5609256,30500,334640,140768,301212,5609256,8159224,36,0,76604,23772,27864,7196,294464,1530,16,-11.6615751276621,-0.243737726394883,-0.272081950882805,1.00483145378393,2
152272,150216,24696,23824,160,9,5609576,30596,334640,140024,301308,5609576,8159224,140,0,76080,23772,27788,7196,294504,2040,17,-11.7892223842261,-0.0912430883008568,-0.0537095362528959,2.76375667921842,2
152272,150216,24696,23824,160,9,5608956,30700,334640,140024,301412,5608956,8159224,172,0,75984,23772,27812,7196,294504,1530,18,-11.8028176092707,-0.316404200767479,-0.71364120140443,1.20214492336438,2
152272,150216,25172,25104,160,63,5607780,30796,334644,141300,301504,5607780,8159224,20,0,77356,23772,27928,7192,294504,1530,19,-11.4587103130641,-0.0613628727428477,1.90871059685005,0.0560717175577441,4
152272,150216,25172,25108,160,55,5607348,30900,334636,141312,301612,5607348,8159224,52,0,77364,23772,27764,7196,294240,1530,20,-11.4699220213049,-0.0731691742641658,1.51956777715327,0.222950648679065,4
152272,150216,25172,25108,160,38,5606988,30996,334648,141312,301712,5606988,8159224,20,0,77364,23772,27800,7192,296284,1020,21,-11.4116441339156,-0.297656368746416,0.0362493944946198,-0.98947704459744,1
