procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1093412  42432 1002292    0    0 12127   343 3617    3  2  4 92  1  0  0
 0  0      0 1094492  42432 1002344    0    0     0     0 1257  468  0  1 99  0  0  0
 0  0      0 1094636  42432 1002344    0    0     4     0 3544  640  0  1 99  0  0  0
 0  0      0 1101352  42432 1002348    0    0     0   112 2490  714  0  1 99  0  0  0
 0  0      0 1088076  42460 1005168    0    0   540     0 2768 1844  2  2 95  0  0  0
 1  0      0 992552  42896 1062804    0    0 58012   104 2383 1319  4  2 94  1  0  0
 2  0      0 967104  42948 1068748    0    0  5720     0 9807  737  9  1 89  0  0  0
 0  0      0 1003596  42964 1068788    0    0    20     0 1701 1082  2  1 97  0  0  0
 0  0      0 1024248  42964 1068792    0    0     0     0 1139  651  1  0 99  0  0  0
 0  0      0 1024220  42964 1068796    0    0     0     0 4245  436  0  0 100  0  0  0
 0  0      0 1023840  42972 1068800    0    0     0    28 3014 1021  0  1 99  0  0  0
 0  0      0 1023092  42972 1068812    0    0     8     8 1114  616  0  0 99  0  0  0
 0  0      0 1023604  42972 1068812    0    0     0     0 13436  541  0  1 99  0  0  0
 0  0      0 1025972  42972 1068816    0    0     0   312 6196  389  0  1 99  0  0  0
 0  0      0 1025864  42972 1068816    0    0     0     0 7024  318  0  0 99  0  0  0
 0  0      0 1024792  42980 1068820    0    0     0    56 6029  398  0  0 99  0  0  0
 1  0      0 1026724  42980 1068820    0    0     0     0 7509  392  0  1 99  0  0  0
 0  0      0 1028132  42980 1068824    0    0     0     0  869  302  0  1 99  0  0  0
 0  0      0 1028372  42980 1068824    0    0     0     0 7055  335  0  0 99  0  0  0
 0  0      0 1031044  42980 1068828    0    0     0     0  805  306  0  0 100  0  0  0
 2  0      0 1032044  42988 1068828    0    0     0    28 1169  427  0  1 99  0  0  0
 0  0      0 1031540  42988 1068832    0    0     0     0 1138  272  0  0 99  0  0  0
 0  0      0 1034516  42988 1068832    0    0     0     0 4743  344  0  0 99  0  0  0
 1  0      0 1033808  42988 1068836    0    0     0     0 1727  282  0  0 100  0  0  0
 0  0      0 1032796  42988 1068844    0    0     0     0  982  324  0  1 99  0  0  0
 0  0      0 1034112  42996 1068844    0    0     0    28  687  332  0  0 100  0  0  0
 0  0      0 1030064  42996 1068844    0    0     0    76  647  255  0  0 100  0  0  0
 1  0      0 1031876  42996 1068848    0    0     0     0  853  305  0  0 99  0  0  0
 0  0      0 1033768  42996 1068848    0    0     0     0  757  258  0  1 99  0  0  0
 0  0      0 1033724  42996 1068852    0    0     0     0  736  272  0  0 100  0  0  0
 0  0      0 1033920  43004 1068856    0    0     0    36 3747  345  0  0 99  0  0  0
 0  0      0 1033364  43004 1068856    0    0     0     0  600  255  0  0 100  0  0  0
 0  0      0 1033804  43004 1068864    0    0     0     4  726  272  0  0 100  0  0  0
 0  0      0 1033220  43004 1068864    0    0     0     0  896  251  0  0 100  0  0  0
 0  0      0 1033496  43004 1068868    0    0     0     0 3193  259  0  0 100  0  0  0
 0  0      0 1032748  43012 1068872    0    0     0    36  698  334  0  0 100  0  0  0
 0  0      0 1032720  43012 1068872    0    0     0    92 1172  267  0  0 100  0  0  0
 0  0      0 1032860  43012 1068872    0    0     0     0  689  249  0  0 99  0  0  0
 0  0      0 1033048  43012 1068872    0    0     0   132  665  253  0  0 100  0  0  0
 0  0      0 1032488  43012 1068880    0    0     0     0  595  263  0  0 100  0  0  0
 0  0      0 1031416  43020 1068880    0    0     0    32  900  330  0  1 99  0  0  0
 0  0      0 1029604  43020 1068884    0    0     0     0 1522  270  0  0 100  0  0  0
 0  0      0 1032468  43020 1068884    0    0     0     8 5233  256  0  0 99  0  0  0
 0  0      0 1032852  43020 1068888    0    0     0     0  476  235  0  0 100  0  0  0
 0  0      0 1033604  43020 1068888    0    0     0     0  769  263  0  0 100  0  0  0
 0  0      0 1031896  43028 1068892    0    0     0    28 4157  367  0  0 99  0  0  0
 0  0      0 1033072  43028 1068892    0    0     0     0  966  225  0  0 100  0  0  0
 0  0      0 1033112  43028 1068900    0    0     0     0  590  243  0  0 100  0  0  0
 0  0      0 1033404  43028 1068904    0    0     0   120  676  272  0  0 100  0  0  0
 0  0      0 1033340  43028 1068904    0    0     0     0  776  273  0  0 100  0  0  0
 0  0      0 1032652  43036 1068904    0    0     0    28  664  303  0  0 100  0  0  0
 0  0      0 1030696  43036 1068908    0    0     0     0 5581  304  0  1 99  0  0  0
 0  0      0 1033396  43036 1068908    0    0     0     0 2493  264  0  0 100  0  0  0
 0  0      0 1033048  43036 1068912    0    0     0     0 1933  245  0  0 100  0  0  0
 0  0      0 1033668  43036 1068916    0    0     0     0  785  265  0  0 99  0  0  0
 0  0      0 1033788  43044 1068916    0    0     0    28 2720  356  0  0 100  0  0  0
 0  0      0 1033204  43044 1068920    0    0     0     0 3596  287  0  0 100  0  0  0
 0  0      0 1032324  43044 1068920    0    0     0    68 2104  297  0  0 100  0  0  0
 0  0      0 1032984  43044 1068924    0    0     0     0  702  254  0  0 100  0  0  0
 0  0      0 1032756  43044 1068924    0    0     0     0  692  308  0  0 100  0  0  0
 0  0      0 1032364  43052 1068928    0    0     0    40 1145  406  0  0 99  0  0  0
 0  0      0 1032472  43052 1068932    0    0     0     0 5097  313  0  0 100  0  0  0
 0  0      0 1032312  43052 1068932    0    0     0     0  911  273  0  0 100  0  0  0
 0  0      0 1033084  43052 1068936    0    0     0     8  760  297  0  0 99  0  0  0
 0  0      0 1033216  43052 1068936    0    0     0     0  969  369  0  1 99  0  0  0
 0  0      0 1032972  43060 1068944    0    0     0    36 4672  383  0  0 99  0  0  0
 0  0      0 1033020  43060 1068948    0    0     0     0 4311  399  0  1 99  0  0  0
 1  0      0 1032748  43060 1068952    0    0     0     0 3844  349  0  1 99  0  0  0
 0  0      0 1032416  43060 1068952    0    0     0     0  822  294  0  0 100  0  0  0
 1  0      0 1032060  43060 1068956    0    0     0     0 2638  326  0  0 99  0  0  0
 0  0      0 1031920  43068 1068956    0    0     0    48 3585  626  0  1 99  0  0  0
 0  0      0 1031308  43068 1068960    0    0     0     0 7490  556  0  0 99  0  0  0
 0  0      0 1031980  43068 1068960    0    0     0     0 10776  614  0  1 99  0  0  0
 0  0      0 1032404  43068 1068964    0    0     0     0 2452  373  0  0 100  0  0  0
 0  0      0 1032336  43068 1068968    0    0     0     0  749  397  0  0 99  0  0  0
 0  0      0 1029040  43076 1068972    0    0     0    28 1022  372  0  1 99  0  0  0
 0  0      0 1033868  43076 1068972    0    0     0     8  746  295  0  0 99  0  0  0
 0  0      0 1034668  43076 1068976    0    0     0     0  626  250  0  0 100  0  0  0
 0  0      0 1033780  43076 1068996    0    0     0     0 11734 1099  0  1 99  0  0  0
 0  0      0 1032976  43076 1068996    0    0     0     0 6007  304  0  0 100  0  0  0
 1  0      0 1030480  43084 1068996    0    0     0    40 12673  499  0  1 99  0  0  0
 0  0      0 1032872  43084 1069000    0    0     0   112 3847  273  0  0 100  0  0  0
 0  0      0 1034152  43084 1069000    0    0     0     0 4369  282  0  1 99  0  0  0
 0  0      0 1034008  43084 1069004    0    0     0     0  642  260  0  0 100  0  0  0
 0  0      0 1034600  43084 1069008    0    0     0     0  711  247  0  0 100  0  0  0
 0  0      0 1033476  43092 1069008    0    0     0    28  782  342  0  0 100  0  0  0
 0  0      0 1034188  43092 1069008    0    0     0     0  697  235  0  0 100  0  0  0
 0  0      0 1034260  43092 1069012    0    0     0     0  696  282  0  0 100  0  0  0
 0  0      0 1034012  43092 1069020    0    0     0    72  588  236  0  0 100  0  0  0
 0  0      0 1033876  43092 1069020    0    0     0     0  833  312  0  0 99  0  0  0
 0  0      0 1034244  43104 1069020    0    0     0    44  871  324  0  0 99  0  0  0
 0  0      0 1033488  43104 1069028    0    0     0     0  849  296  0  0 100  0  0  0
 0  0      0 1034280  43104 1069028    0    0     0     0  576  231  0  0 100  0  0  0
 0  0      0 1030152  43104 1069036    0    0     0     0 4078  322  0  1 99  0  0  0
 0  0      0 1037468  43104 1069036    0    0     0     8 3353  271  0  1 99  0  0  0
 0  0      0 1036668  43112 1069040    0    0     0    36 1704  369  0  0 99  0  0  0
 1  0      0 1033844  43112 1069040    0    0     0     0 5812  264  0  0 100  0  0  0
 0  0      0 1036592  43112 1069044    0    0     0     0 4937  268  0  0 100  0  0  0
 0  0      0 1036012  43112 1069044    0    0     0     0 7913  273  0  1 99  0  0  0
 0  0      0 1036380  43112 1069048    0    0     0     0  628  246  0  0 100  0  0  0
 0  0      0 1035980  43120 1069176    0    0     0    28  945  345  0  0 99  0  0  0
 1  0      0 1036044  43120 1069180    0    0     0     0  703  268  0  0 100  0  0  0
 0  0      0 1036080  43120 1069180    0    0     0     0  674  220  0  0 100  0  0  0
 0  0      0 1037744  43120 1069180    0    0     0     0  723  277  0  0 100  0  0  0
 0  0      0 1036924  43120 1069188    0    0     0     0  688  238  0  0 100  0  0  0
 0  0      0 1037056  43128 1069188    0    0     0    28  883  352  0  0 100  0  0  0
